,0,1,2,3,4,5
27,5774 ,Vehicles & Parts,-->,Career & Job,-->,"['stronger ties', 'friday emphasised', 'fourth sessions']"
28,1468 ,,-->,Career & Job,-->,"['us killing', 'represents us interests', '\\"" followin ...""', 'top commanders', 'swiss embassy', 'qasem soleimani', 'friday summoned', 'american forces']"
29,6732 ,Vehicles & Parts,-->,Career & Job,-->,['durbar ...']
30,1676 ,Vehicles & Parts,-->,Career & Job,-->,"['outdated tech', 'rapid exit taxiways', '₹ 2', 'parallel taxiway', 'new terminal', 'main runway', 'chennai airport', '00 ...']"
31,5974 ,Vehicles & Parts,-->,Career & Job,-->,"['residential society flat', 'fierce fire', 'residential society flat', 'sector 75', 'fire broke', 'causing panic', 'accident ...']"
32,4825 ,,-->,Career & Job,-->,"['yilan county', 'military commander', 'helicopter crash', 'eight people']"
33,5564 ,Vehicles & Parts,-->,Career & Job,-->,"['sid accuses madhurima', ""sanchalak '."", 'latter tells', 'latest teaser', 'even happy']"
34,4079 ,Vehicles & Parts,-->,Career & Job,-->,[]
35,5188 ,Vehicles & Parts,-->,Career & Job,-->,"['new look', 'mahim beach', 'april 2020', 'story originally appeared', 'january 3']"
36,858 ,Vehicles & Parts,-->,Career & Job,-->,['city fires']
37,859 ,Vehicles & Parts,-->,Career & Job,-->,"['massive fire breaks', 'residential apartment', 'casualty reported', 'sector 75 today', 'massive fire broke', 'massive fire breaks', 'apex athena society', 'residential appartmet', 'casualty reported', '14th floor']"
38,5565 ,Vehicles & Parts,-->,Career & Job,-->,"['pay rs 50', 'man attacked', 'tamil nadu government', 'rs 50']"
39,6534 ,Vehicles & Parts,-->,Career & Job,-->,"['mayawati demands sacking', 'kota infant deaths', 'mayawati demands sacking', 'kota infants deaths']"
40,1469 ,Vehicles & Parts,-->,Career & Job,-->,"['pakistan gets', 'economic projects', '200 million', 'united arab emirates', 'medium enterprises', 'jan 3', 'finance advisor', '200 million']"
41,1677 ,,-->,Career & Job,-->,"['shatabdi era', 'boarded howrah express', 'chandigarh railway station', 'station superintendent', 'still remember']"
42,1065 ,Vehicles & Parts,-->,Career & Job,-->,"['know milk', 'coconut milk', 'full medical qualities', 'traditional cuisine', 'recent years', 'coconut ...']"
43,5364 ,Vehicles & Parts,-->,Career & Job,-->,"['90s bollywood remixes', 'last decade']"
44,5189 ,Vehicles & Parts,-->,Career & Job,-->,"['fiance natasha stankovic', 'hardik pandya', 'many young women', 'end yes ...', 'rounder hardik pandya', 'hardik pandya', 'urvashi rautela', 'new year', 'getting engaged']"
45,2071 ,Vehicles & Parts,-->,Career & Job,-->,"['share market update', 'aviation stocks', 'positive note', 'new delhi', 'jet airways', 'aviation stocks', 'aviation ...', 'afternoon session']"
46,1276 ,Vehicles & Parts,-->,Career & Job,-->,"['vj ramya', 'vijay sethupathi', 'titled master', 'malavika mohanan', 'lokesh kanakaraj', 'gauri kishan', 'arjun das', '64th film']"
47,3274 ,,-->,Career & Job,-->,"['reza noorani story', 'shimla ...', 'rajkummar rao', 'love letter', 'comedies start']"
48,2896 ,Vehicles & Parts,-->,Career & Job,-->,"['official slams google', 'top ex', 'human rights', 'china project', 'notch former executive', 'tech giant', 'raised questions', 'human rights', 'blasted google']"
49,5004 ,Vehicles & Parts,-->,Career & Job,-->,"['toilets across india', 'using public facilities', 'public toilet recently', 'one faces', 'extremely dirty', 'experience like', 'biggest issues']"
